adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000006201-25-000052	6201	AMERICAN AIRLINES GROUP INC.	4512	US	TX	FORT WORTH	76155	1 SKYVIEW DRIVE		6822789000	US	TX	FORT WORTH	76155	1 SKYVIEW DRIVE		US	DE	751825172	AMR CORP	19920703	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251023	2025-10-23 07:02:00.0	0	1	aal-20250930_htm.xml	2	4515
0000006281-25-000153	6281	ANALOG DEVICES INC	3674	US	MA	WILMINGTON	01887	ONE ANALOG WAY		7813294700	US	MA	WILMINGTON	01887	ONE ANALOG WAY		US	MA	042348234			1-LAF	1	1031	10-K	20251031	2025	FY	20251125	2025-11-25 16:03:00.0	0	1	adi-20251101_htm.xml	1	
0000006845-25-000152	6845	APOGEE ENTERPRISES, INC.	3231	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	6128351874	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	US	MN	410919654	APOGEE ENTERPRISES INC	19920703	1-LAF	0	0228	10-Q	20250831	2026	Q2	20251009	2025-10-09 16:04:00.0	0	1	apog-20250830_htm.xml	1	
0000006955-25-000030	6955	ENERPAC TOOL GROUP CORP	3590	US	WI	MILWAUKEE	53203-2917	648 N PLANKINTON AVE, 4TH FLOOR		262-293-1500	US	WI	MILWAUKEE	53203-2917	648 N PLANKINTON AVE, 4TH FLOOR		US	WI	390168610	ACTUANT CORP	20010110	1-LAF	1	0831	10-K	20250831	2025	FY	20251017	2025-10-17 14:44:00.0	0	1	epac-20250831_htm.xml	1	
0000006955-25-000081	6955	ENERPAC TOOL GROUP CORP	3590	US	WI	MILWAUKEE	53203-2917	648 N PLANKINTON AVE, 4TH FLOOR		262-293-1500	US	WI	MILWAUKEE	53203-2917	648 N PLANKINTON AVE, 4TH FLOOR		US	WI	390168610	ACTUANT CORP	20010110	1-LAF	0	0831	10-Q	20251130	2026	Q1	20251222	2025-12-22 15:37:00.0	0	1	epac-20251130_htm.xml	1	
0000007084-25-000052	7084	ARCHER-DANIELS-MIDLAND CO	2070	US	IL	CHICAGO	60601	77 W. WACKER DR.		312-634-8233	US	IL	CHICAGO	60601	77 W. WACKER DR.		US	DE	410129150	ARCHER DANIELS MIDLAND CO	19920703	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 16:01:00.0	0	1	adm-20250930_htm.xml	1	
0000007789-25-000179	7789	ASSOCIATED BANC-CORP	6022	US	WI	GREEN BAY	54301	433 MAIN STREET		920-491-7500	US	WI	GREEN BAY	54301	433 MAIN STREET		US	WI	391098068	ASSOCIATED BANK SERVICES INC	19770626	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251028	2025-10-28 16:25:00.0	0	1	asb-20250930_htm.xml	1	
0000008063-25-000086	8063	ASTRONICS CORP	3728	US	NY	EAST AURORA	14052-2164	130 COMMERCE WAY	-	716-805-1599	US	NY	EAST AURORA	14052-2164	130 COMMERCE WAY	-	US	NY	160959303	ASTRONICS LUMINESCENT INC	19711209	2-ACC	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 15:33:00.0	0	1	atro-20250927_htm.xml	1	
0000008670-25-000047	8670	AUTOMATIC DATA PROCESSING INC	7374	US	NJ	ROSELAND	07068	ONE ADP BOULVARD		9739745000	US	NJ	ROSELAND	07068	ONE ADP BOULEVARD		US	DE	221467904			1-LAF	0	0630	10-Q	20250930	2026	Q1	20251031	2025-10-31 12:10:00.0	0	1	adp-20250930_htm.xml	1	
0000008818-25-000049	8818	AVERY DENNISON CORP	2670	US	OH	MENTOR	44060	8080 NORTON PARKWAY		440-534-6000	US	OH	MENTOR	44060	8080 NORTON PARKWAY		US	DE	951492269	AVERY DENNISON CORPORATION	19920703	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251028	2025-10-28 16:18:00.0	0	1	avy-20250927_htm.xml	1	
0000008858-25-000066	8858	AVNET INC	5065	US	AZ	PHOENIX	85034	2211 SOUTH 47TH STREET		4806432000	US	AZ	PHOENIX	85034	2211 SOUTH 47TH STREET		US	NY	111890605			1-LAF	0	0630	10-Q	20250930	2026	Q1	20251031	2025-10-30 18:05:00.0	0	1	avt-20250927x10q_htm.xml	1	
0000008947-25-000193	8947	AZZ INC	3470	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	8178100095	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	US	TX	750948250	AZTEC MANUFACTURING CO	20000911	1-LAF	0	0228	10-Q	20250831	2026	Q2	20251008	2025-10-08 16:13:00.0	0	1	azz-20250831_htm.xml	1	
0000009326-25-000022	9326	BALCHEM CORP	2800	US	NJ	MONTVALE	07645	5 PARAGON DRIVE		(845) 326-5600	US	NJ	MONTVALE	07645	5 PARAGON DRIVE		US	MD	132578432			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251021	2025-10-21 16:19:00.0	0	1	bcpc-20250930_htm.xml	1	
0000010795-25-000099	10795	BECTON DICKINSON & CO	3841	US	NJ	FRANKLIN LAKES	07417-1880	ONE BECTON DR		2018476800	US	NJ	FRANKLIN LAKE	07417	ONE BECTON DR		US	NJ	220760120			1-LAF	0	0930	10-K	20250930	2025	FY	20251125	2025-11-25 16:27:00.0	0	1	bdx-20250930_htm.xml	1	
0000011544-25-000032	11544	BERKLEY W R CORP	6331	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	2036293000	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	US	DE	221867895			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251103	2025-11-03 16:11:00.0	0	1	wrb-20250930_htm.xml	1	
0000012208-25-000077	12208	BIO-RAD LABORATORIES, INC.	3826	US	CA	HERCULES	94547	1000 ALFRED NOBEL DRIVE		5107247000	US	CA	HERCULES	94547	1000 ALFRED NOBEL DRIVE		US	DE	941381833	BIO RAD LABORATORIES INC	19920703	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251029	2025-10-29 16:19:00.0	0	1	bio-20250930_htm.xml	1	
0000012659-25-000016	12659	H&R BLOCK INC	7200	US	MO	KANSAS CITY	64105	ONE H&R BLOCK WAY		8168543000	US	MO	KANSAS CITY	64105	ONE H&R BLOCK WAY		US	MO	440607856			1-LAF	0	0630	10-Q	20250930	2025	Q1	20251106	2025-11-06 16:54:00.0	0	1	hrb-20250930_htm.xml	1	
0000014272-25-000149	14272	BRISTOL MYERS SQUIBB CO	2834	US	NJ	PRINCETON	08543	ROUTE 206 AND PROVINCE LINE ROAD		6092524621	US	NJ	PRINCETON	08543	ROUTE 206 AND PROVINCE LINE ROAD		US	DE	220790350	BRISTOL MYERS CO	19891012	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-30 12:05:00.0	0	1	bmy-20250930_htm.xml	1	
0000014693-25-000112	14693	BROWN FORMAN CORP	2080	US	KY	LOUISVILLE	40210	850 DIXIE HWY		5025851100	US	KY	LOUISVILLE	40210	850 DIXIE HIGHWAY		US	DE	610143150	BROWN FORMAN INC	19870816	1-LAF	0	0430	10-Q	20251031	2026	Q2	20251204	2025-12-04 16:09:00.0	0	1	bfb-20251031_htm.xml	1	
0000014707-25-000086	14707	CALERES INC	3140	US	MO	ST LOUIS	63105	8300 MARYLAND AVE	P O BOX 29	3148544000	US	MO	ST LOUIS	63166	P O BOX 29		US	NY	430197190	BROWN SHOE CO INC	20030613	1-LAF	0	0131	10-Q	20251031	2026	Q3	20251211	2025-12-11 16:19:00.0	0	1	cal-20251101x10q_htm.xml	1	
0000014846-25-000037	14846	BRT APARTMENTS CORP.	6798	US	NY	GREAT NECK	11021-3190	60 CUTTER MILL RD	SUITE 303	5164663100	US	NY	GREAT NECK	11021	60 CUTTER MILL ROAD	SUITE 303	US	NY	132755856	BRT REALTY TRUST	20170206	4-NON	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 16:16:00.0	0	1	brt-20250930_htm.xml	1	
0000014930-25-000125	14930	BRUNSWICK CORP	3510	US	IL	METTAWA	60045-3420	26125 N. RIVERWOODS BLVD. SUITE 500		8477354700	US	IL	METTAWA	60045-3420	26125 N. RIVERWOODS BLVD. SUITE 500		US	DE	360848180	BRUNSWICK BALKE COLLENDER CO	19660919	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-30 15:02:00.0	0	1	bcorp-20250927_htm.xml	1	
0000015615-25-000128	15615	MASTEC INC	1623	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	10TH FLOOR	3055991800	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	10TH FLOOR	US	FL	650829355	BURNUP & SIMS INC	19920703	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-30 16:14:00.0	0	1	mtz-20250930_htm.xml	1	
0000015847-25-000021	15847	BUTLER NATIONAL CORP	7990	US	KS	NEW CENTURY	66031	ONE AERO PLAZA		9137809595	US	KS	NEW CENTURY	66031	ONE AERO PLAZA		US	DE	410834293	NATIONAL CONNECTOR CORP	19701009	4-NON	0	0430	10-Q	20251031	2026	Q2	20251211	2025-12-11 09:27:00.0	0	1	buks-20251031_htm.xml	1	
0000016058-25-000087	16058	CACI INTERNATIONAL INC /DE/	7373	US	VA	RESTON	20190	TWO RESTON OVERLOOK	12021 SUNSET HILLS ROAD	7038417800	US	VA	RESTON	20190	TWO RESTON OVERLOOK	12021 SUNSET HILLS ROAD	US	DE	541345888	CACI INC /DE/	19870119	1-LAF	0	0630	10-Q	20250930	2026	Q1	20251023	2025-10-23 13:26:00.0	0	1	caci-20250930_htm.xml	1	
0000016732-25-000126	16732	CAMPBELL'S CO	2000	US	NJ	CAMDEN	08103	CAMPBELL PL		8563424800	US	NJ	CAMDEN	08103	CAMPBELL PL		US	NJ	210419870	CAMPBELL SOUP CO	19920703	1-LAF	0	0731	10-Q	20251031	2026	Q1	20251209	2025-12-09 07:19:00.0	0	1	cpb-20251102_htm.xml	1	
0000016875-25-000039	16875	CANADIAN PACIFIC KANSAS CITY LTD/CN	4011	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.		403-319-3591	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.		CA		980355078	CANADIAN PACIFIC RAILWAY LTD/CN	19960829	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-29 18:01:00.0	0	1	cp-20250930_htm.xml	1	
0000016918-25-000141	16918	CONSTELLATION BRANDS, INC.	2080	US	NY	ROCHESTER	14614	50 EAST BROAD STREET		585-678-7100	US	NY	ROCHESTER	14614	50 EAST BROAD STREET		US	DE	160716709	CONSTELLATION BRANDS INC	20000920	1-LAF	0	0228	10-Q	20250831	2026	Q2	20251007	2025-10-07 14:00:00.0	0	1	stz-20250831_htm.xml	1	
0000017313-25-000146	17313	CAPITAL SOUTHWEST CORP		US	TX	DALLAS	75225	8333 DOUGLAS AVE	SUITE 1100	2142385700	US	TX	DALLAS	75225	8333 DOUGLAS AVE	SUITE 1100	US	TX	751072796			1-LAF	0	0331	10-Q	20250930	2026	Q2	20251103	2025-11-03 16:12:00.0	0	1	cswc-20250930_htm.xml	1	
0000017843-25-000029	17843	CARPENTER TECHNOLOGY CORP	3312	US	PA	PHILADELPHIA	19103	BNY MELLON BUILDING	1735 MARKET STREET, 15TH FL	6102082000	US	PA	PHILADELPHIA	19103	BNY MELLON BUILDING	1735 MARKET STREET, 15TH FL	US	DE	230458500			1-LAF	0	0630	10-Q	20250930	2026	Q1	20251023	2025-10-23 16:12:00.0	0	1	crs-20250930_htm.xml	1	
0000018230-25-000048	18230	CATERPILLAR INC	3531	US	TX	IRVING	75039	5205 N. O'CONNOR BOULEVARD	SUITE 100	9728917700	US	TX	IRVING	75039	5205 N. O'CONNOR BOULEVARD	SUITE 100	US	DE	370602744	CATERPILLAR TRACTOR CO	19860623	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251103	2025-11-03 11:06:00.0	0	1	cat-20250930_htm.xml	1	
0000018349-25-000121	18349	SYNOVUS FINANCIAL CORP	6021	US	GA	COLUMBUS	31901	33 W 14TH STREET		7066416500	US	GA	COLUMBUS	31901	33 W 14TH STREET		US		581134883	CB&T BANCSHARES INC	19890912	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 16:17:00.0	0	1	syn-20250930_htm.xml	1	
0000018926-25-000111	18926	LUMEN TECHNOLOGIES, INC.	4813	US	LA	MONROE	71203	P O BOX 4065	100 CENTURYLINK DR	3183889000	US	LA	MONROE	71203	100 CENTURYLINK DR	P O BOX 4065	US	LA	720651161	CENTURYLINK, INC	20101108	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-30 16:21:00.0	0	1	lumn-20250930_htm.xml	1	
0000019584-25-000006	19584	CHEMED CORP	8082	US	OH	CINCINNATI	45202	SUITE 2600	255 E FIFTH ST	(513)762-6690	US	OH	CINCINNATI	45202-4726	SUITE 2600	255 E FIFTH STREET	US	DE	310791746	ROTO-ROOTER INC	20030613	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251031	2025-10-31 09:02:00.0	0	1	che-20250930x10q_htm.xml	1	
0000019871-25-000008	19871	CHICAGO RIVET & MACHINE CO	3540	US	IL	NAPERVILLE	60566	901 FRONTENAC RD	P O BOX 3061	6303578500	US	IL	NAPERVILLE	60566	901 FRONTENAC RD	P O BOX 3061	US	IL	360904920			4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	2025-11-07 14:13:00.0	0	1	cvr-20250930_htm.xml	1	
0000020212-25-000135	20212	CHURCHILL DOWNS INC	7948	US	KY	LOUISVILLE	40222-5389	600 N HURSTBOURNE PKWY	STE 400	15023941166	US	KY	LOUISVILLE	40222-5389	600 N HURSTBOURNE PKWY	STE 400	US	KY	610156015	CHURCHILL DOWNS INC	20160105	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251022	2025-10-22 16:15:00.0	0	1	chdn-20250930_htm.xml	1	
0000020286-25-000062	20286	CINCINNATI FINANCIAL CORP	6331	US	OH	FAIRFIELD	45014	6200 S GILMORE RD		5138702000	US	OH	CINCINNATI	45250	P.O. BOX 145496		US	OH	310746871			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251027	2025-10-27 16:10:00.0	0	1	cinf-20250930_htm.xml	1	
0000020520-25-000006	20520	FRONTIER COMMUNICATIONS PARENT, INC.	4813	US	TX	DALLAS	75201	1919 MCKINNEY AVENUE		2036145600	US	TX	DALLAS	75201	1919 MCKINNEY AVENUE				862359749	FRONTIER COMMUNICATIONS CORP	20080730	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251028	2025-10-28 16:29:00.0	0	1	fybr-20250930x10q_htm.xml	1	
0000021076-25-000053	21076	CLOROX CO /DE/	2842	US	CA	OAKLAND	94612-1888	THE CLOROX COMPANY	1221 BROADWAY	5102717000	US	CA	OAKLAND	94612-1305	P.O. BOX 24305		US	DE	310595760			1-LAF	0	0630	10-Q	20250930	2026	Q1	20251103	2025-11-03 16:45:00.0	0	1	clx-20250930_htm.xml	1	
0000021175-25-000097	21175	CNA FINANCIAL CORP	6331	US	IL	CHICAGO	60606	CNA	151 N. FRANKLIN	3128225000	US	IL	CHICAGO	60606	CNA	151 N. FRANKLIN	US	DE	366169860			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251103	2025-11-03 06:35:00.0	0	1	cna-20250930_htm.xml	1	
0000021665-25-000053	21665	COLGATE PALMOLIVE CO	2844	US	NY	NEW YORK	10022	300 PARK AVE		2123102000	US	NY	NEW YORK	10022	300 PARK AVE		US	DE	131815595			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251031	2025-10-31 09:35:00.0	0	1	cl-20250930_htm.xml	1	
0000022356-25-000093	22356	COMMERCE BANCSHARES INC /MO/	6022	US	MO	KANSAS CITY	64106	1000 WALNUT		8162342000	US	MO	KANSAS CITY	64141-6248	P O BOX 419248		US	MO	430889454			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251110	2025-11-10 13:43:00.0	0	1	cbsh-20250930_htm.xml	1	
0000022444-25-000138	22444	COMMERCIAL METALS CO	3312	US	TX	IRVING	75039	6565 N. MACARTHUR BLVD., SUITE 800	P O BOX 1046	2146894300	US	TX	IRVING	75039	6565 N. MACARTHUR BLVD., SUITE 800	PO BOX 1046	US	DE	750725338	COMMERCIAL METALS CO	19920703	1-LAF	1	0831	10-K	20250831	2025	FY	20251016	2025-10-16 13:29:00.0	0	1	cmc-20250831_htm.xml	1	
0000022701-25-000015	22701	SUNATION ENERGY, INC.	1700	US	NY	RONKONKOMA	11779	171 REMINGTON BOULEVARD		9529961674	US	NY	RONKONKOMA	11779	171 REMINGTON BOULEVARD		US	DE	410957999	PINEAPPLE ENERGY INC.	20220412	4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	2025-11-07 16:35:00.0	0	1	sune-20250930x10q_htm.xml	1	
0000023197-25-000080	23197	COMTECH TELECOMMUNICATIONS CORP /DE/	3663	US	AZ	CHANDLER	85226	305 N 54TH STREET		4803332200	US	AZ	CHANDLER	85226	305 N 54TH STREET		US	DE	112139466	COMTECH INC	19870503	4-NON	0	0731	10-K	20250731	2025	FY	20251110	2025-11-10 16:29:00.0	0	1	cmtl-20250731_htm.xml	1	
0000023197-25-000100	23197	COMTECH TELECOMMUNICATIONS CORP /DE/	3663	US	AZ	CHANDLER	85226	305 N 54TH STREET		4803332200	US	AZ	CHANDLER	85226	305 N 54TH STREET		US	DE	112139466	COMTECH INC	19870503	4-NON	0	0731	10-Q	20251031	2026	Q1	20251211	2025-12-11 16:11:00.0	0	1	cmtl-20251031_htm.xml	1	
0000024090-25-000124	24090	CITIZENS, INC.	6311	US	TX	AUSTIN	78758	11815 ALTERRA PKWY	SUITE 1500	5128377100	US	TX	AUSTIN	78714	P O BOX 149151		US	CO	840755371	CITIZENS INC	19920703	2-ACC	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 16:17:00.0	0	1	cia-20250930_htm.xml	1	
0000024545-25-000039	24545	MOLSON COORS BEVERAGE CO	2082	US	CO	GOLDEN	80401	P.O. BOX 4030	BC555	303-279-6565	US	CO	GOLDEN	80401	P.O. BOX 4030	BC555	US	DE	840178360	MOLSON COORS BREWING CO	20050208	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 08:59:00.0	0	1	tap-20250930_htm.xml	1	
0000024741-25-000121	24741	CORNING INC /NY	3357	US	NY	CORNING	14831	ONE RIVERFRONT PLAZA		6079749000	US	NY	CORNING	14831	ONE RIVERFRONT PLAZA		US	NY	160393470	CORNING GLASS WORKS	19890512	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251031	2025-10-31 11:08:00.0	0	1	glw-20250930_htm.xml	1	
0000025232-25-000061	25232	COUSINS PROPERTIES INC	6798	US	GA	ATLANTA	30326	3344 PEACHTREE ROAD, NE	SUITE 1800	404-407-1000	US	GA	ATLANTA	30326	3344 PEACHTREE ROAD, NE	SUITE 1800	US	GA	580869052			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-30 16:32:00.0	0	1	cuz-20250930_htm.xml	1	
0000025445-25-000095	25445	CRANE NXT, CO.	3490	US	MA	WALTHAM	02451	CRANE NXT, CO.	950 WINTER STREET, 4TH FLOOR NORTH	781-755-6868	US	MA	WALTHAM	02451	CRANE NXT, CO.	950 WINTER STREET, 4TH FLOOR NORTH	US	DE	880706021	CRANE HOLDINGS, CO.	20220527	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-05 16:33:00.0	0	1	cxt-20250930_htm.xml	1	
0000026172-25-000039	26172	CUMMINS INC	3510	US	IN	COLUMBUS	47202-3005	500 JACKSON ST	BOX 3005 MAIL CODE 93050	8123773842	US	IN	COLUMBUS	47202-3005	BOX 3005 MAIL CODE 93050	500	US	IN	350257090	CUMMINS ENGINE CO INC	19920703	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 12:58:00.0	0	1	cmi-20250930_htm.xml	1	
0000027419-25-000126	27419	TARGET CORP	5331	US	MN	MINNEAPOLIS	55403	1000 NICOLLET MALL		6123046073	US	MN	MINNEAPOLIS	55403	1000 NICOLLET MALL		US	MN	410215170	DAYTON HUDSON CORP	19920703	1-LAF	0	0131	10-Q	20251031	2025	Q3	20251126	2025-11-26 12:35:00.0	0	1	tgt-20251101_htm.xml	1	
0000027430-25-000021	27430	DAYTON POWER & LIGHT CO	4931	US	OH	DAYTON	45432	1065 WOODMAN DRIVE		937-259-7215	US	OH	DAYTON	45432	1065 WOODMAN DRIVE		US	OH	310258470			4-NON	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 16:28:00.0	0	1	dpl-20250930_htm.xml	1	
0000027904-25-000020	27904	DELTA AIR LINES, INC.	4512	US	GA	ATLANTA	30354-1989	HARTSFIELD-JACKSON ATLANTA INTL AIRPORT	1030 DELTA BOULEVARD	4047152600	US	GA	ATLANTA	30354	1030 DELTA BLVD.	DEPT 981	US	DE	580218548	DELTA AIR LINES INC /DE/	19920703	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251009	2025-10-09 16:20:00.0	0	1	dal-20250930_htm.xml	1	
0000027996-25-000189	27996	DELUXE CORP	2780	US	MN	MINNEAPOLIS	55402	801 S. MARQUETTE AVE.		6514837111	US	MN	MINNEAPOLIS	55402	801 S. MARQUETTE AVE.		US	MN	410216800	DELUXE CHECK PRINTERS INC	19880608	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 09:16:00.0	0	1	dlx-20250930_htm.xml	1	
0000028412-25-000235	28412	COMERICA INC	6021	US	TX	DALLAS	75201	1717 MAIN STREET MC6404	ATTN: KELLY GAGE	833-571-0486	US	TX	DALLAS	75201	1717 MAIN STREET MC6404	ATTN: KELLY GAGE	US	DE	000006021	COMERICA INC /NEW/	19920703	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251028	2025-10-28 16:49:00.0	0	1	cma-20250930_htm.xml	1	
0000028823-25-000083	28823	DIEBOLD NIXDORF, INC	3578	US	OH	NORTH CANTON	44720	350 ORCHARD AVE NE		3304904000	US	OH	NORTH CANTON	44720	350 ORCHARD AVE NE		US	DE	340183970	DIEBOLD INC	19920703	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-05 16:11:00.0	0	1	dbd-20250930_htm.xml	1	
0000028917-25-000032	28917	DILLARD'S, INC.	5311	US	AR	LITTLE ROCK	72201	1600 CANTRELL RD		5013765200	US	AR	LITTLE ROCK	72201	1600 CANTRELL ROAD		US	TX	710388071	DILLARDS INC	19980622	1-LAF	0	0131	10-Q	20251031	2025	Q3	20251205	2025-12-05 16:46:00.0	0	1	dds-20251101x10q_htm.xml	1	
0000029332-25-000073	29332	DIXIE GROUP INC	2273	US	GA	DALTON	30722	PO BOX 2007		7068765814	US	GA	DALTON	30722	PO BOX 2007		US	TN	620183370	DIXIE YARNS INC	19920703	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	2025-11-12 13:34:00.0	0	1	dxyn-20250927_htm.xml	1	
